"","ttest-dark vs light-15 min","ttest-dark vs light-2h","ttest-dark vs C2","ttest light15 vs light2"
"35",0.0456505083796626,0.0237228785672933,0.60863640637009,0.0759082924816242
"36",0.0480307083109865,0.0126214654408091,0.185229483848118,0.440447539200289
"37",0.0489867252115282,0.022671673538827,0.0652063851385938,0.639372520861784
"38",0.0489867252115282,0.552165696914357,0.711889307631289,0.514212268475202
"39",0.0489867252115282,NA,0.392273760224911,0.982165185267299
"40",0.0489867252115282,0.108112851019727,0.60863640637009,0.549641387122741
"41",0.0489867252115282,0.147984344912018,NA,0.029431805086432
"42",0.0489867252115282,0.0136697930722355,0.0955945518351284,0.639372520861784
"43",0.0489867252115282,0.0126214654408091,0.60863640637009,0.447203659565436
"44",0.0489867252115282,0.0102273612973728,0.752574900829541,0.0493143660823655
"45",0.0554990915020457,0.0140345280671295,0.190337742083793,0.618015287966331
"46",0.0557347102164543,0.361763973672546,0.524005578614044,0.440447539200289
"47",0.0557347102164543,0.0154673958314819,0.198783017613755,0.133357975319039
"48",0.0557347102164543,NA,NA,0.0323503725698453
"49",0.0565602179633434,NA,0.515663796261958,0.123993225570611
"50",0.0565602179633434,0.359657299704827,0.422709952644984,0.860864955348106
"51",0.0565602179633434,0.552165696914357,NA,0.0335211740598933
"52",0.0565602179633434,NA,NA,0.0335211740598933
"53",0.0598638224283214,0.552165696914357,0.60863640637009,0.487118726032593
"54",0.065015978156995,0.0822128553248537,0.0877719486285779,0.639372520861784
"55",0.0657740697529301,0.0811642650430997,0.270590261176077,0.00365750289020489
"56",0.0710424010565203,0.124694108121345,0.969416783009447,0.440447539200289
"57",0.0710424010565203,0.0780387314632081,0.0366507888612786,0.448631325495789
"58",0.0710424010565203,0.0490522971624749,0.32703624790931,0.0753841479441696
"59",0.0713064300179694,NA,0.392273760224911,0.962262501458863
"60",0.0782818874425334,0.0200629720709436,0.392273760224911,0.639372520861784
"61",0.0789833918832688,0.187508728501528,0.144950429613383,0.639372520861784
"62",0.0789833918832688,0.174461651780981,0.132051506954105,0.994365794688489
"63",0.0803375807084138,0.134848246203919,0.0366507888612786,0.2338085533712
"64",0.0807233393730261,0.00353204775601447,0.865929925210858,0.511180714213583
"65",0.0854683182157139,0.659887321120413,0.673900957863375,0.2338085533712
"66",0.0854683182157139,0.345176888652191,0.0944072988578228,0.136819941306595
"67",0.0854683182157139,0.165632022111093,0.204623269454725,0.528748891744071
"68",0.0854683182157139,0.305440174675358,0.41732864166723,0.727210430849811
"69",0.0854683182157139,0.286287539103302,0.60863640637009,0.0753841479441696
"70",0.0854683182157139,0.0062592106397019,0.0371243450399276,0.903613086361163
"71",0.0854683182157139,0.00855383270143145,0.0544906921055253,0.440447539200289
